"","Fecha","1","3","6","12"
"V566",2005-04-05,NA,NA,NA,NA
"V567",2005-04-06,NA,NA,NA,NA
"V568",2005-04-07,NA,NA,NA,NA
"V569",2005-04-08,NA,NA,NA,NA
"V570",2005-04-11,NA,NA,NA,NA
"V571",2005-04-12,NA,NA,NA,NA
"V572",2005-04-13,NA,NA,NA,NA
"V573",2005-04-14,NA,NA,NA,NA
"V574",2005-04-15,NA,NA,NA,NA
"V575",2005-04-18,NA,NA,NA,NA
"V576",2005-04-19,NA,NA,NA,NA
"V577",2005-04-20,NA,NA,NA,NA
"V578",2005-04-21,NA,NA,NA,NA
"V579",2005-04-22,NA,NA,NA,NA
"V580",2005-04-25,NA,NA,NA,NA
"V581",2005-04-26,NA,NA,NA,NA
"V582",2005-04-27,NA,NA,NA,NA
"V583",2005-04-28,NA,NA,NA,NA
"V584",2005-04-29,NA,NA,NA,NA
"V585",2005-05-02,NA,NA,NA,NA
"V586",2005-05-03,NA,NA,NA,NA
"V587",2005-05-04,NA,NA,NA,NA
"V588",2005-05-05,NA,NA,NA,NA
"V589",2005-05-06,NA,NA,NA,NA
"V590",2005-05-09,NA,NA,NA,NA
"V591",2005-05-10,NA,NA,NA,NA
"V592",2005-05-11,NA,NA,NA,NA
"V593",2005-05-12,NA,NA,NA,NA
"V594",2005-05-13,NA,NA,NA,NA
"V595",2005-05-16,NA,NA,NA,NA
"V596",2005-05-17,NA,NA,NA,NA
"V597",2005-05-18,NA,NA,NA,NA
"V598",2005-05-19,NA,NA,NA,NA
"V599",2005-05-20,NA,NA,NA,NA
"V600",2005-05-23,NA,NA,NA,NA
"V601",2005-05-24,NA,NA,NA,NA
"V602",2005-05-26,NA,NA,NA,NA
"V603",2005-05-27,NA,NA,NA,NA
"V604",2005-05-30,NA,NA,NA,NA
"V605",2005-05-31,NA,NA,NA,NA
