"","Fecha","1","3","6","12"
"V825",2006-04-11,,,,
"V826",2006-04-12,,,,
"V827",2006-04-17,,,,
"V828",2006-04-18,,,,
"V829",2006-04-19,,,,
"V830",2006-04-20,,,,
"V831",2006-04-21,,,,
"V832",2006-04-24,,,,
"V833",2006-04-25,,,,
"V834",2006-04-26,,,,
"V835",2006-04-27,,,,
"V836",2006-04-28,,,,
"V837",2006-05-02,,,,
"V838",2006-05-03,,,,
"V839",2006-05-04,,,,
"V840",2006-05-05,,,,
"V841",2006-05-08,,,,
"V842",2006-05-09,,,,
"V843",2006-05-10,,,,
"V844",2006-05-11,,,,
"V845",2006-05-12,,,,
"V846",2006-05-15,,,,
"V847",2006-05-16,,,,
"V848",2006-05-17,,,,
"V849",2006-05-18,,,,
"V850",2006-05-19,,,,
"V851",2006-05-22,,,,
"V852",2006-05-23,,,,
"V853",2006-05-24,,,,
"V854",2006-05-26,,,,
"V855",2006-05-29,,,,
"V856",2006-05-30,,,,
"V857",2006-05-31,,,,
"V858",2006-06-01,,,,
"V859",2006-06-02,,,,
"V860",2006-06-05,,,,
"V861",2006-06-06,,,,
"V862",2006-06-07,,,,
"V863",2006-06-08,,,,
"V864",2006-06-09,,,,
"V865",2006-06-12,,,,
"V866",2006-06-13,,,,
"V867",2006-06-14,,,,
"V868",2006-06-15,,,,
"V869",2006-06-16,,,,
"V870",2006-06-20,,,,
"V871",2006-06-21,,,,
"V872",2006-06-22,,,,
"V873",2006-06-23,,,,
"V874",2006-06-26,,,,
"V875",2006-06-27,,,,
"V876",2006-06-28,,,,
"V877",2006-06-29,,,,
"V878",2006-06-30,,,,
"V879",2006-07-03,,,,
"V880",2006-07-04,,,,
"V881",2006-07-05,,,,
"V882",2006-07-06,,,,
"V883",2006-07-07,,,,
"V884",2006-07-10,,,,
"V885",2006-07-11,,,,
"V886",2006-07-12,,,,
"V887",2006-07-13,,,,
"V888",2006-07-14,,,,
"V889",2006-07-17,,,,
"V890",2006-07-18,,,,
"V891",2006-07-19,,,,
"V892",2006-07-20,,,,
"V893",2006-07-21,,,,
"V894",2006-07-24,,,,
"V895",2006-07-25,,,,
"V896",2006-07-26,,,,
"V897",2006-07-27,,,,
"V898",2006-07-28,,,,
"V899",2006-07-31,,,,
"V900",2006-08-01,,,,
"V901",2006-08-02,,,,
"V902",2006-08-03,,,,
"V903",2006-08-04,,,,
"V904",2006-08-07,,,,
"V905",2006-08-08,,,,
"V906",2006-08-09,,,,
"V907",2006-08-10,,,,
"V908",2006-08-11,,,,
"V909",2006-08-14,,,,
"V910",2006-08-15,,,,
"V911",2006-08-16,,,,
"V912",2006-08-17,,,,
"V913",2006-08-18,,,,
"V914",2006-08-22,,,,
"V915",2006-08-23,,,,
"V916",2006-08-24,,,,
"V917",2006-08-25,,,,
"V918",2006-08-28,,,,
"V919",2006-08-29,,,,
"V920",2006-08-30,,,,
